en_us	pt_BR
Baby Please Don't Go	Baby Por Favor Não Vá
Baby please don't go.	baby, por favor não vá.
Baby please don't go.	baby, por favor não vá.
Baby please don't go down to New Orleans.	baby, por favor não vá para Nova Orleans.
You know I love you so.	Você sabe que eu te amo tanto.
Baby please don't go.	baby, por favor não vá.
When the man done gone.	Quando o homem foi feito.
When the man done gone.	Quando o homem foi feito.
When the man done gone down the county farm.	Quando o homem foi feito lá na fazenda do condado.
He got the shackles on.	Ele estava algemado.
Baby please don't go.	baby, por favor não vá.
Don't leave me.	não me abandone.
I'll be a dog.	Eu serei um cãozinho,.
I'll be a dog woah.	eu serei um cãozinho woah.
I'll be a dog kiss your way down here.	Eu serei um cãozinho, beijarei seu chão aqui.
When you walk along.	Quando você caminhar sozinha.
Baby please don't go.	baby, por favor não vá.
Baby please don't go.	baby, por favor não vá.
Baby please don't go.	baby, por favor não vá.
Baby please don't go down to New Orleans.	baby, por favor não vá para Nova Orleans.
You know I love you so.	Você sabe que eu te amo tanto.
Baby please don't go.	baby, por favor não vá.
No baby please don't leave me.	Não baby, por favor não me abandone.
Why must you go away and do this to me baby.	por que você precisa me abandonar e fazer isso para mim baby.
I wanna suffer for you, suffer, suffer.	Eu quero sofrer por você, sofrer, sofrer.
Oh baby please dont go.	Oh baby, por favor, não vá.
No!.	não!.
Baby, baby, baby, please don't go, please dont go.	Baby, baby, baby, por favor não vá, por favor não vá.
Dont go and leave me, please don't go.	Não vá me deixar, por favor não vá.
Baby, humm, baby, ahah.	Baby, humm, baby, ahah.
Oh dont go, no don't go.	Oh não vá, não não vá.
Oh don't go, no don't go.	Oh não vá, não não vá.
Ah don't go, don't go so slow.	Ah não vá, não vá tão devagar.
Oh don't go, no don't go.	Oh não vá, não vá.
Why must you leave me lying on my back.	Por que você me deixou deitado de costas.
Going across left side of the track.	Indo pelo lado esquerdo da pista.
Found yourself a new man I know.	Você encontrou um novo homem Eu sei.
So baby please don't go.	Então baby por favor não vá.
Baby please don't go.	Baby, por favor não vá.
No no no no.	Não não não não.
Oh please, please don't leave me.	Oh, por favor, não me deixe.
I don't want to be left alone baby.	Eu não quero ser abandonado, baby.
Ah don't go, don't go, don't go.	Ah não vá, não vá, não vá.
No!.	Não!.
Back In Black	De Volta do Luto
Back in black, I hit the sack.	De volta do luto, eu tirei um cochilo.
I've been too long, I'm glad to be back.	Estive longe por muito tempo, estou contente por estar de volta.
Yes I'm let loose from the noose.	Sim, eu fui libertado da forca.
That's kept me hangin' about.	Que me manteve dependurado.
I've been livin' like a star 'cause it's gettin' me high.	Tenho vivido como uma estrela porque isso tem me deixado doidão.
Forget the hearse, 'cause I never die.	Esqueça o carro fúnebre, porque eu nunca morrerei.
I got nine lives, cat's eyes.	Tenho nove vidas, olhos de gato.
Using every one of them and runnin' wild.	Usando cada um deles e correndo à solta.
'Cause I'm back! Yes, I'm back.	Porque eu estou de volta! Sim, estou de volta.
Well, I'm back! Yes, I'm back.	Bem, eu estou de volta! Sim, estou de volta.
Well, I'm back, back.	Bem, eu estou de volta, de volta.
Well, I'm back in black.	Bem, eu estou de volta, do luto.
Yes, I'm back in black.	Sim, eu estou de volta do luto.
Back in the back of a Cadillac.	De volta na traseira de um Cadillac.
Number one with a bullet, I'm a power pack.	Número um com uma bala, sou uma bateria carregada.
Yes I'm in a bang with the gang.	Sim, eu estou numa banda com uma gangue.
They gotta catch me if they want me to hang.	Eles terão que me pegar se quiserem me enforcar.
'Cause I'm back on the track and I'm beatin' the flack.	Porque eu estou de volta à estrada e estou batendo no porta-voz.
Nobody's gonna get me on another rap.	Ninguém vai me pegar em outra armadilha.
So look at me now, I'm just a makin' my play.	Então olhe para mim agora, eu estou apenas dando o troco.
Don't try to push your luck, just get outta my way.	Não tente brincar com sua sorte, apenas saia do meu caminho.
'Cause I'm back! Yes, I'm back.	Porque eu estou de volta! Sim, estou de volta.
Well, I'm back! Yes, I'm back.	Bem, eu estou de volta! Sim, estou de volta.
Well, I'm back, back.	Bem, eu estou de volta, de volta.
Well, I'm back in black.	Bem, eu estou de volta, do luto.
Yes, I'm back in black.	Sim, eu estou de volta do luto.
Well, I'm back! Yes, I'm back.	Porque eu estou de volta, sim, estou de volta.
Well, I'm back! Yes, I'm back.	Bem, eu estou de volta, sim, estou de volta.
Well, I'm back, back.	Bem, eu estou de volta, de volta.
Well, I'm back in black.	Bem, eu estou de volta, do luto.
Yes, I'm back in black.	Sim, eu estou de volta do luto.
Aw, yeah! Let's go.	Ah, sim! Vamos lá.
Keep on goin'! Yeah, yeah.	Continue! Sim, sim.
Yeah, aw, yeah, yeah.	Sim, ah, sim, sim.
Here we go.	Aqui vamos nós.
Well, I'm back (I'm back).	Bem, eu estou de volta (estou de volta).
Back (well, I'm back).	De volta (bem, eu estou de volta).
Back (I'm back).	De volta (estou de volta).
Back (I'm back).	De volta (estou de volta).
Back (I'm back).	De volta (estou de volta).
Back.	De volta.
Yes, back in black.	Sim, de volta do luto.
Yes, I'm back in black.	Sim, eu estou de volta do luto.
Back In Business	De Volta Aos Negócios
Breaking out, about to shout.	Entrando, quase gritando.
Feel the need, for one more round.	Sentir a necessidade, só mais uma volta.
Don't you struggle, don't try to bite.	Não se esforce, não tente morder.
You want some trouble, I'm the king of vice.	Se você quer problema, eu sou o rei da desordem.
I'm a wrecking ball, I'm a stinging knife.	Eu sou ma bola de demolição, sou uma faca pontuda.
